"BSC/RNC/LTE","Cell"
"LTE t4oss","DAU01260B41"
"LTE t4oss","DAU01263A11"
"LTE t4oss","DAU01263A21"
"LTE t4oss","DAU01263A31"
"LTE t4oss","DAU01265B11"
"LTE t4oss","DAU01265B21"
"LTE t4oss","DAU01265B31"
"LTE t4oss","DAU01267A11"
"LTE t4oss","DAU01267A21"
"LTE t4oss","DAU01267A31"
"LTE t4oss","DAU01268G11"
"LTE t4oss","DAU01268G21"
"LTE t4oss","DAU01268G31"
"LTE t4oss","DAU01272B11"
"LTE t4oss","DAU01272B21"
"LTE t4oss","DAU01272B31"
"LTE t4oss","DAU01278A11"
"LTE t4oss","DAU01278A21"
"LTE t4oss","DAU01278A31"
"LTE t4oss","DAU01281A11"
"LTE t4oss","DAU01281A21"
"LTE t4oss","DAU01281A31"
"LTE t4oss","DAU01281A41"
"LTE t4oss","DAU01282B11"
"LTE t4oss","DAU01282B21"
"LTE t4oss","DAU01282B31"
"LTE t4oss","DAU01282B41"
"LTE t4oss","DAU01283F11"
"LTE t4oss","DAU01283F21"
"LTE t4oss","DAU01283F31"
"LTE t4oss","DAU01284A11"
"LTE t4oss","DAU01284A21"
"LTE t4oss","DAU01284A31"
"LTE t4oss","DAU01287A11"
"LTE t4oss","DAU01287A21"
"LTE t4oss","DAU01287A31"
"LTE t4oss","DAU01288B11"
"LTE t4oss","DAU01288B21"
"LTE t4oss","DAU01288B31"
"LTE t4oss","DAU01289E11"
"LTE t4oss","DAU01289E21"
"LTE t4oss","DAU01289E31"
"LTE t4oss","DAU01292D11"
"LTE t4oss","DAU01292D21"
"LTE t4oss","DAU01292D31"
"LTE t4oss","DAU01293B11"
"LTE t4oss","DAU01293B21"
"LTE t4oss","DAU01293B31"
"LTE t4oss","DAU01298C11"
"LTE t4oss","DAU01298C21"
"LTE t4oss","DAU01298C31"
"LTE t4oss","DAU01300A11"
"LTE t4oss","DAU01300A21"
"LTE t4oss","DAU01300A31"
"LTE t4oss","DAU01300A41"
"LTE t4oss","DAU01301F11"
"LTE t4oss","DAU01301F21"
"LTE t4oss","DAU01301F31"
"LTE t4oss","DAU01303A11"
"LTE t4oss","DAU01303A21"
"LTE t4oss","DAU01303A31"
"LTE t4oss","DAU01304A11"
"LTE t4oss","DAU01304A21"
"LTE t4oss","DAU01304A31"
"LTE t4oss","DAU01305C11"
"LTE t4oss","DAU01305C21"
"LTE t4oss","DAU01305C31"
"LTE t4oss","DAU01306G11"
"LTE t4oss","DAU01306G21"
"LTE t4oss","DAU01306G31"
"LTE t4oss","DAU01307F11"
"LTE t4oss","DAU01307F21"
"LTE t4oss","DAU01307F31"
"LTE t4oss","DAU01309B11"
"LTE t4oss","DAU01309B21"
"LTE t4oss","DAU01309B31"
"LTE t4oss","DAU01310B11"
"LTE t4oss","DAU01310B21"
"LTE t4oss","DAU01310B31"
"LTE t4oss","DAU01312E11"
"LTE t4oss","DAU01312E21"
"LTE t4oss","DAU01312E31"
"LTE t4oss","DAU01313F11"
"LTE t4oss","DAU01313F21"
"LTE t4oss","DAU01313F31"
"LTE t4oss","DAU01314A11"
"LTE t4oss","DAU01314A21"
"LTE t4oss","DAU01314A31"
"LTE t4oss","DAU01315B11"
"LTE t4oss","DAU01315B21"
"LTE t4oss","DAU01315B31"
"LTE t4oss","DAU01316A11"
"LTE t4oss","DAU01316A21"
"LTE t4oss","DAU01316A31"
"LTE t4oss","DAU01318D11"
"LTE t4oss","DAU01318D21"
"LTE t4oss","DAU01318D31"
"LTE t4oss","DAU01319A11"
"LTE t4oss","DAU01319A21"
"LTE t4oss","DAU01319A31"
"LTE t4oss","DAU01320B11"
"LTE t4oss","DAU01320B21"
"LTE t4oss","DAU01320B31"
"LTE t4oss","DAU01321B11"
"LTE t4oss","DAU01321B21"
"LTE t4oss","DAU01321B31"
"LTE t4oss","DAU01323C11"
"LTE t4oss","DAU01323C21"
"LTE t4oss","DAU01323C31"
"LTE t4oss","DAU01324A11"
"LTE t4oss","DAU01324A21"
"LTE t4oss","DAU01324A31"
"LTE t4oss","DAU01325B11"
"LTE t4oss","DAU01325B21"
"LTE t4oss","DAU01325B31"
"LTE t4oss","DAU01326A11"
"LTE t4oss","DAU01326A21"
"LTE t4oss","DAU01326A31"
"LTE t4oss","DAU01328B11"
"LTE t4oss","DAU01328B21"
"LTE t4oss","DAU01328B31"
"LTE t4oss","DAU01330B11"
"LTE t4oss","DAU01330B21"
"LTE t4oss","DAU01330B31"
"LTE t4oss","DAU01331A11"
"LTE t4oss","DAU01331A21"
"LTE t4oss","DAU01331A31"
"LTE t4oss","DAU01332C11"
"LTE t4oss","DAU01332C21"
"LTE t4oss","DAU01332C31"
"LTE t4oss","DAU01333G11"
"LTE t4oss","DAU01333G21"
"LTE t4oss","DAU01333G31"
"LTE t4oss","DAU01334A11"
"LTE t4oss","DAU01334A21"
"LTE t4oss","DAU01334A31"
"LTE t4oss","DAU01336C11"
"LTE t4oss","DAU01336C21"
"LTE t4oss","DAU01336C31"
"LTE t4oss","DAU01337C11"
"LTE t4oss","DAU01337C21"
"LTE t4oss","DAU01337C31"
"LTE t4oss","DAU01338A11"
"LTE t4oss","DAU01338A21"
"LTE t4oss","DAU01338A31"
"LTE t4oss","DAU01339B11"
"LTE t4oss","DAU01339B21"
"LTE t4oss","DAU01339B31"
"LTE t4oss","DAU01340A11"
"LTE t4oss","DAU01340A21"
"LTE t4oss","DAU01340A31"
"LTE t4oss","DAU01341J11"
"LTE t4oss","DAU01341J21"
"LTE t4oss","DAU01341J31"
"LTE t4oss","DAU01342F11"
"LTE t4oss","DAU01342F21"
"LTE t4oss","DAU01342F31"
"LTE t4oss","DAU01343D11"
"LTE t4oss","DAU01343D21"
"LTE t4oss","DAU01343D31"
"LTE t4oss","DAU01345D11"
"LTE t4oss","DAU01345D21"
"LTE t4oss","DAU01345D31"
"LTE t4oss","DAU01346B11"
"LTE t4oss","DAU01346B21"
"LTE t4oss","DAU01346B31"
"LTE t4oss","DAU01347B11"
"LTE t4oss","DAU01347B21"
"LTE t4oss","DAU01347B31"
"LTE t4oss","DAU01348A11"
"LTE t4oss","DAU01348A21"
"LTE t4oss","DAU01348A31"
"LTE t4oss","DAU01349A11"
"LTE t4oss","DAU01349A21"
"LTE t4oss","DAU01349A31"
"LTE t4oss","DAU01350E11"
"LTE t4oss","DAU01350E21"
"LTE t4oss","DAU01350E31"
"LTE t4oss","DAU01351A11"
"LTE t4oss","DAU01351A21"
"LTE t4oss","DAU01351A31"
"LTE t4oss","DAU01352A11"
"LTE t4oss","DAU01352A21"
"LTE t4oss","DAU01352A31"
"LTE t4oss","DAU01355A11"
"LTE t4oss","DAU01355A21"
"LTE t4oss","DAU01355A31"
"LTE t4oss","DAU01359D11"
"LTE t4oss","DAU01359D21"
"LTE t4oss","DAU01359D31"
"LTE t4oss","DAU01360B11"
"LTE t4oss","DAU01360B21"
"LTE t4oss","DAU01360B31"
"LTE t4oss","DAU01361A11"
"LTE t4oss","DAU01361A21"
"LTE t4oss","DAU01361A31"
"LTE t4oss","DAU01362A11"
"LTE t4oss","DAU01362A21"
"LTE t4oss","DAU01362A31"
"LTE t4oss","DAU01363A11"
"LTE t4oss","DAU01363A21"
"LTE t4oss","DAU01363A31"
"LTE t4oss","DAU01364A11"
"LTE t4oss","DAU01364A21"
"LTE t4oss","DAU01364A31"
"LTE t4oss","DAU01364A41"
"LTE t4oss","DAU01366C11"
"LTE t4oss","DAU01366C21"
"LTE t4oss","DAU01366C31"
"LTE t4oss","DAU01367A11"
"LTE t4oss","DAU01367A21"
"LTE t4oss","DAU01367A31"
"LTE t4oss","DAU01368B11"
"LTE t4oss","DAU01368B21"
"LTE t4oss","DAU01368B31"
"LTE t4oss","DAU01369B11"
"LTE t4oss","DAU01369B21"
"LTE t4oss","DAU01369B31"
"LTE t4oss","DAU01372B11"
"LTE t4oss","DAU01372B21"
"LTE t4oss","DAU01372B31"
"LTE t4oss","DAU01376A11"
"LTE t4oss","DAU01376A21"
"LTE t4oss","DAU01376A31"
"LTE t4oss","DAU01377D11"
"LTE t4oss","DAU01377D21"
"LTE t4oss","DAU01377D31"
"LTE t4oss","DAU01378E11"
"LTE t4oss","DAU01378E21"
"LTE t4oss","DAU01378E31"
"LTE t4oss","DAU01379B11"
"LTE t4oss","DAU01379B21"
"LTE t4oss","DAU01379B31"
"LTE t4oss","DAU01380C11"
"LTE t4oss","DAU01380C21"
"LTE t4oss","DAU01380C31"
"LTE t4oss","DAU01383C11"
"LTE t4oss","DAU01383C21"
"LTE t4oss","DAU01383C31"
"LTE t4oss","DAU01384C11"
"LTE t4oss","DAU01384C21"
"LTE t4oss","DAU01384C31"
"LTE t4oss","DAU01385B11"
"LTE t4oss","DAU01385B21"
"LTE t4oss","DAU01385B31"
"LTE t4oss","DAU01386E11"
"LTE t4oss","DAU01386E21"
"LTE t4oss","DAU01386E31"
"LTE t4oss","DAU01387A11"
"LTE t4oss","DAU01387A21"
"LTE t4oss","DAU01387A31"
"LTE t4oss","DAU01389A11"
"LTE t4oss","DAU01389A21"
"LTE t4oss","DAU01389A31"
"LTE t4oss","DAU01390A11"
"LTE t4oss","DAU01390A21"
"LTE t4oss","DAU01390A31"
"LTE t4oss","DAU01390A41"
"LTE t4oss","DAU01391B11"
"LTE t4oss","DAU01391B21"
"LTE t4oss","DAU01391B31"
"LTE t4oss","DAU01394B11"
"LTE t4oss","DAU01394B21"
"LTE t4oss","DAU01394B31"
"LTE t4oss","DAU01397C11"
"LTE t4oss","DAU01397C21"
"LTE t4oss","DAU01397C31"
"LTE t4oss","DAU01398B11"
"LTE t4oss","DAU01398B21"
"LTE t4oss","DAU01398B31"
"LTE t4oss","DAU01401B11"
"LTE t4oss","DAU01401B21"
"LTE t4oss","DAU01401B31"
"LTE t4oss","DAU01402C11"
"LTE t4oss","DAU01402C21"
"LTE t4oss","DAU01402C31"
"LTE t4oss","DAU01404D11"
"LTE t4oss","DAU01404D21"
"LTE t4oss","DAU01404D31"
"LTE t4oss","DAU01405C11"
"LTE t4oss","DAU01405C21"
